=============> 2.0 Before RS Changes

Benchmark                                 Mode  Cnt          Score         Error  Units
MultiTest.testCollectorBadNullValue      thrpt   20     305600.609 ±    14726.698  ops/s
MultiTest.testCollectorBadValueMethod    thrpt   20     293432.431 ±    38008.251  ops/s
MultiTest.testEmpty                      thrpt   20  216582358.327 ± 14943568.405  ops/s
MultiTest.testError                      thrpt   20     926006.582 ±    29397.187  ops/s
MultiTest.testErrorCollect               thrpt   20     868542.748 ±    30161.557  ops/s
MultiTest.testErrorFirst                 thrpt   20     844278.717 ±    46591.635  ops/s
MultiTest.testFirst                      thrpt   20    3627088.562 ±   117980.364  ops/s
MultiTest.testFirstWithLoad              thrpt   20         34.662 ±        0.067  ops/s
MultiTest.testFromMulti                  thrpt   20    5943968.270 ±   200843.517  ops/s
MultiTest.testFromMultiWithLoad          thrpt   20         31.030 ±        1.437  ops/s
MultiTest.testFromPublisher              thrpt   20   13408504.907 ±   296678.440  ops/s
MultiTest.testFromPublisherWithLoad      thrpt   20         37.508 ±        2.142  ops/s
MultiTest.testJust                       thrpt   20    5480974.727 ±   608714.539  ops/s
MultiTest.testJustWithLoad               thrpt   20         32.855 ±        0.827  ops/s
MultiTest.testMapBadMapper               thrpt   20     479186.563 ±    47246.349  ops/s
MultiTest.testMapBadMapperNullValue      thrpt   20     522558.995 ±    24617.517  ops/s
MultiTest.testMapChain                   thrpt   20    1843330.823 ±   275746.667  ops/s
MultiTest.testMapper                     thrpt   20    3302959.598 ±   357053.384  ops/s
MultiTest.testMapperWithLoad             thrpt   20         15.013 ±        2.406  ops/s
MultiTest.testNever                      thrpt   20  213537143.254 ± 14446293.016  ops/s
MultiTest.testNeverMap                   thrpt   20   18017801.810 ±   165830.969  ops/s

===============> Kec design

Benchmark                                 Mode  Cnt          Score        Error  Units
MultiTest.testCollectList                thrpt   20    5002324.746 ±  11530.719  ops/s
MultiTest.testCollectListWithLoad        thrpt   20         51.225 ±      1.248  ops/s
MultiTest.testCollectorBadCollectMethod  thrpt   20     631207.726 ±  18137.207  ops/s
MultiTest.testCollectorBadNullValue      thrpt   20     606541.755 ±  14803.397  ops/s
MultiTest.testCollectorBadValueMethod    thrpt   20     558565.280 ±  13626.865  ops/s
MultiTest.testEmpty                      thrpt   20  249505339.457 ± 642116.550  ops/s
MultiTest.testError                      thrpt   20     998113.676 ±  11062.629  ops/s
MultiTest.testErrorCollect               thrpt   20     855822.089 ±  15713.872  ops/s
MultiTest.testErrorFirst                 thrpt   20     844451.670 ±  30773.688  ops/s
MultiTest.testFirst                      thrpt   20    4830051.266 ±   7806.706  ops/s
MultiTest.testFirstWithLoad              thrpt   20         73.063 ±      6.089  ops/s
MultiTest.testFromMulti                  thrpt   20   11502302.222 ±  21495.638  ops/s
MultiTest.testFromMultiWithLoad          thrpt   20         73.366 ±      0.878  ops/s
MultiTest.testFromPublisher              thrpt   20    4853760.299 ± 119387.374  ops/s
MultiTest.testFromPublisherWithLoad      thrpt   20         17.911 ±      0.687  ops/s
MultiTest.testJust                       thrpt   20   11339105.354 ± 128983.593  ops/s
MultiTest.testJustWithLoad               thrpt   20         63.156 ±      1.922  ops/s
MultiTest.testMapBadMapper               thrpt   20     554610.612 ±  16990.944  ops/s
MultiTest.testMapBadMapperNullValue      thrpt   20     662185.902 ±   8119.126  ops/s
MultiTest.testMapChain                   thrpt   20    1532355.105 ±   8134.397  ops/s
MultiTest.testMapper                     thrpt   20    4650946.510 ±  22891.540  ops/s
MultiTest.testMapperWithLoad             thrpt   20         23.070 ±      0.455  ops/s
MultiTest.testNever                      thrpt   20  249929801.878 ± 624170.511  ops/s
MultiTest.testNeverMap                   thrpt   20   11254402.802 ±  43660.513  ops/s

================> Alex design

Benchmark                                 Mode  Cnt          Score        Error  Units
MultiTest.testCollectList                thrpt   20    6275940.759 ± 117493.498  ops/s
MultiTest.testCollectListWithLoad        thrpt   20         50.505 ±      1.026  ops/s
MultiTest.testCollectorBadCollectMethod  thrpt   20     352959.391 ±  10402.271  ops/s
MultiTest.testCollectorBadNullValue      thrpt   20     763200.258 ±  16048.882  ops/s
MultiTest.testCollectorBadValueMethod    thrpt   20     733686.959 ±  22555.903  ops/s
MultiTest.testEmpty                      thrpt   20  249366103.421 ± 405521.947  ops/s
MultiTest.testError                      thrpt   20    1000511.079 ±  20563.546  ops/s
MultiTest.testErrorCollect               thrpt   20     949985.747 ±  15171.764  ops/s
